dex,name,types,englishCategory,habitat,englishDex,hp,attack,defense,spAttack,spDefense,speed,sourceAbilities,evolution,sourceInspiration,artOrigin,referenceStatus,editableFolder,frontSprite,backSprite,icon,normalPalette,shinyPalette,productionProfile
123,Piranha,water/dark,Devourer,Arauna Rivers,"Piranha lives in Arauna Rivers. This Water/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",75,75,73,75,72,78,Torrente | Corpo Molhado,,Piranha vermelha,reference-front-plus-reconstructed-back,available,123_piranha,123_piranha/anim_front.png,123_piranha/back.png,123_piranha/icon.png,123_piranha/normal.pal,123_piranha/shiny.pal,123_piranha/candidate_profile.json
124,Tambaqui,water/normal,Fruit-Eater,Arauna Amazon,"Tambaqui, the Fruit-Eater POKéMON, inhabits Arauna Amazon. Its Water/Normal nature reflects Brazil's wildlife and legends.",68,82,70,75,72,78,Torrente | Corpo Molhado,,Peixe redondo,reference-front-plus-reconstructed-back,available,124_tambaqui,124_tambaqui/anim_front.png,124_tambaqui/back.png,124_tambaqui/icon.png,124_tambaqui/normal.pal,124_tambaqui/shiny.pal,124_tambaqui/candidate_profile.json
125,Aruanã,water/flying,Jumper,Arauna Amazon,"Found in Arauna Amazon, Aruanã is known as the Jumper POKéMON. It carries a distinct Water/Flying affinity.",72,78,72,75,72,78,Torrente | Corpo Molhado,,Peixe-macaco,reference-front-plus-reconstructed-back,available,125_aruana,125_aruana/anim_front.png,125_aruana/back.png,125_aruana/icon.png,125_aruana/normal.pal,125_aruana/shiny.pal,125_aruana/candidate_profile.json
126,Poraquê,electric/water,Shock,Arauna Amazon,"Poraquê lives in Arauna Amazon. This Electric/Water POKéMON embodies a part of Brazil's nature, folklore, or culture.",76,74,74,75,72,78,Estática | Motor Elétrico,,Peixe-elétrico,reference-front-plus-reconstructed-back,available,126_poraque,126_poraque/anim_front.png,126_poraque/back.png,126_poraque/icon.png,126_poraque/normal.pal,126_poraque/shiny.pal,126_poraque/candidate_profile.json
127,Curimbatá,water/ground,Schooling,Arauna Rivers,"Curimbatá, the Schooling POKéMON, inhabits Arauna Rivers. Its Water/Ground nature reflects Brazil's wildlife and legends.",69,81,70,75,72,78,Torrente | Corpo Molhado,,Peixe-de-fundo,reference-front-plus-reconstructed-back,available,127_curimbata,127_curimbata/anim_front.png,127_curimbata/back.png,127_curimbata/icon.png,127_curimbata/normal.pal,127_curimbata/shiny.pal,127_curimbata/candidate_profile.json
128,Traíra,water/dark,Ambush,Arauna Rivers,"Found in Arauna Rivers, Traíra is known as the Ambush POKéMON. It carries a distinct Water/Dark affinity.",73,77,72,75,72,78,Torrente | Corpo Molhado,,Peixe-traíra,reference-front-plus-reconstructed-back,available,128_traira,128_traira/anim_front.png,128_traira/back.png,128_traira/icon.png,128_traira/normal.pal,128_traira/shiny.pal,128_traira/candidate_profile.json
129,Dourado,water/fighting,Fighter,Arauna Rivers,"Dourado lives in Arauna Rivers. This Water/Fighting POKéMON embodies a part of Brazil's nature, folklore, or culture.",77,73,74,75,72,78,Torrente | Corpo Molhado,,Peixe dourado,reference-front-plus-reconstructed-back,available,129_dourado,129_dourado/anim_front.png,129_dourado/back.png,129_dourado/icon.png,129_dourado/normal.pal,129_dourado/shiny.pal,129_dourado/candidate_profile.json
130,Tucunaré,water/dark,Territorial,Arauna Amazon,"Tucunaré, the Territorial POKéMON, inhabits Arauna Amazon. Its Water/Dark nature reflects Brazil's wildlife and legends.",70,80,71,75,72,78,Torrente | Corpo Molhado,,Peixe-tucunaré,reference-front-plus-reconstructed-back,available,130_tucunare,130_tucunare/anim_front.png,130_tucunare/back.png,130_tucunare/icon.png,130_tucunare/normal.pal,130_tucunare/shiny.pal,130_tucunare/candidate_profile.json
131,Pacu,water/grass,Fruit-Eater,Arauna Amazon,"Found in Arauna Amazon, Pacu is known as the Fruit-Eater POKéMON. It carries a distinct Water/Grass affinity.",74,76,73,75,72,78,Torrente | Corpo Molhado,,Peixe-pacu,reference-front-plus-reconstructed-back,available,131_pacu,131_pacu/anim_front.png,131_pacu/back.png,131_pacu/icon.png,131_pacu/normal.pal,131_pacu/shiny.pal,131_pacu/candidate_profile.json
132,Matrinxã,water/normal,Schooling,Arauna Rivers,"Matrinxã lives in Arauna Rivers. This Water/Normal POKéMON embodies a part of Brazil's nature, folklore, or culture.",67,83,69,75,72,78,Torrente | Corpo Molhado,,Peixe-matrinxã,reference-front-plus-reconstructed-back,available,132_matrinxa,132_matrinxa/anim_front.png,132_matrinxa/back.png,132_matrinxa/icon.png,132_matrinxa/normal.pal,132_matrinxa/shiny.pal,132_matrinxa/candidate_profile.json
133,Piau,water/normal,Schooling,Arauna Rivers,"Piau, the Schooling POKéMON, inhabits Arauna Rivers. Its Water/Normal nature reflects Brazil's wildlife and legends.",71,79,71,75,72,78,Torrente | Corpo Molhado,,Peixe-piau,reference-front-plus-reconstructed-back,available,133_piau,133_piau/anim_front.png,133_piau/back.png,133_piau/icon.png,133_piau/normal.pal,133_piau/shiny.pal,133_piau/candidate_profile.json
134,Cascudo,water/rock,Armor-Plate,Arauna Rivers,"Found in Arauna Rivers, Cascudo is known as the Armor-Plate POKéMON. It carries a distinct Water/Rock affinity.",75,75,73,75,72,78,Torrente | Corpo Molhado,,Peixe-cascudo,reference-front-plus-reconstructed-back,available,134_cascudo,134_cascudo/anim_front.png,134_cascudo/back.png,134_cascudo/icon.png,134_cascudo/normal.pal,134_cascudo/shiny.pal,134_cascudo/candidate_profile.json
135,Acará,water/psychic,Disc,Arauna Amazon,"Acará lives in Arauna Amazon. This Water/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",68,82,70,75,72,78,Torrente | Corpo Molhado,,Acará-disco,reference-front-plus-reconstructed-back,available,135_acara,135_acara/anim_front.png,135_acara/back.png,135_acara/icon.png,135_acara/normal.pal,135_acara/shiny.pal,135_acara/candidate_profile.json
136,Vagalumim,bug/electric,Lantern,Arauna Atlantic Forest,"Vagalumim, the Lantern POKéMON, inhabits Arauna Atlantic Forest. Its Bug/Electric nature reflects Brazil's wildlife and legends.",45,50,45,45,45,55,Enxame | Olho Composto,#137 (Level 36),Vaga-lume filhote,reference-front-plus-reconstructed-back,available,136_vagalumim,136_vagalumim/anim_front.png,136_vagalumim/back.png,136_vagalumim/icon.png,136_vagalumim/normal.pal,136_vagalumim/shiny.pal,136_vagalumim/candidate_profile.json
137,Vagalume,bug/electric,Lantern,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Vagalume is known as the Lantern POKéMON. It carries a distinct Bug/Electric affinity.",89,96,90,95,90,95,Enxame | Olho Composto,,Vaga-lume adulto,reference-front-plus-reconstructed-back,available,137_vagalume,137_vagalume/anim_front.png,137_vagalume/back.png,137_vagalume/icon.png,137_vagalume/normal.pal,137_vagalume/shiny.pal,137_vagalume/candidate_profile.json
138,Cigarrinho,bug,Singer,Arauna Atlantic Forest,"Cigarrinho lives in Arauna Atlantic Forest. This Bug POKéMON embodies a part of Brazil's nature, folklore, or culture.",42,53,43,45,45,55,Enxame | Olho Composto,#139 (Level 16),Cigarra filhote,reference-front-plus-reconstructed-back,available,138_cigarrinho,138_cigarrinho/anim_front.png,138_cigarrinho/back.png,138_cigarrinho/icon.png,138_cigarrinho/normal.pal,138_cigarrinho/shiny.pal,138_cigarrinho/candidate_profile.json
139,Cigarrão,bug/flying,Singer,Arauna Atlantic Forest,"Cigarrão, the Singer POKéMON, inhabits Arauna Atlantic Forest. Its Bug/Flying nature reflects Brazil's wildlife and legends.",86,99,88,95,90,95,Enxame | Olho Composto,,Cigarra adulta,reference-front-plus-reconstructed-back,available,139_cigarrao,139_cigarrao/anim_front.png,139_cigarrao/back.png,139_cigarrao/icon.png,139_cigarrao/normal.pal,139_cigarrao/shiny.pal,139_cigarrao/candidate_profile.json
140,Louvadinha,bug,Scythe,Arauna Cerrado,"Found in Arauna Cerrado, Louvadinha is known as the Scythe POKéMON. It carries a distinct Bug affinity.",50,45,47,45,45,55,Enxame | Olho Composto,#141 (Level 30),Louva-a-deus filhote,reference-front-plus-reconstructed-back,available,140_louvadinha,140_louvadinha/anim_front.png,140_louvadinha/back.png,140_louvadinha/icon.png,140_louvadinha/normal.pal,140_louvadinha/shiny.pal,140_louvadinha/candidate_profile.json
141,Louvadeus,bug/psychic,Scythe,Arauna Cerrado,"Louvadeus lives in Arauna Cerrado. This Bug/Psychic POKéMON embodies a part of Brazil's nature, folklore, or culture.",83,102,87,95,90,95,Enxame | Olho Composto,,Louva-a-deus adulto,reference-front-plus-reconstructed-back,available,141_louvadeus,141_louvadeus/anim_front.png,141_louvadeus/back.png,141_louvadeus/icon.png,141_louvadeus/normal.pal,141_louvadeus/shiny.pal,141_louvadeus/candidate_profile.json
142,Escorpim,poison,Stinger,Arauna Caatinga,"Escorpim, the Stinger POKéMON, inhabits Arauna Caatinga. Its Poison nature reflects Brazil's wildlife and legends.",47,48,46,45,45,55,Ponto Cego | Corpo Fedido,#143 (Level 36),Escorpião jovem,reference-front-plus-reconstructed-back,available,142_escorpim,142_escorpim/anim_front.png,142_escorpim/back.png,142_escorpim/icon.png,142_escorpim/normal.pal,142_escorpim/shiny.pal,142_escorpim/candidate_profile.json
143,Escorpião,poison/dark,Stinger,Arauna Caatinga,"Found in Arauna Caatinga, Escorpião is known as the Stinger POKéMON. It carries a distinct Poison/Dark affinity.",80,105,85,95,90,95,Ponto Cego | Corpo Fedido,,Escorpião adulto,reference-front-plus-reconstructed-back,available,143_escorpiao,143_escorpiao/anim_front.png,143_escorpiao/back.png,143_escorpiao/icon.png,143_escorpiao/normal.pal,143_escorpiao/shiny.pal,143_escorpiao/candidate_profile.json
144,Caramulão,bug/water,Shell,Arauna Amazon,"Caramulão lives in Arauna Amazon. This Bug/Water POKéMON embodies a part of Brazil's nature, folklore, or culture.",71,79,71,75,72,78,Enxame | Olho Composto,,Caramujo gigante,reference-front-plus-reconstructed-back,available,144_caramulao,144_caramulao/anim_front.png,144_caramulao/back.png,144_caramulao/icon.png,144_caramulao/normal.pal,144_caramulao/shiny.pal,144_caramulao/candidate_profile.json
145,Piolhão,bug/poison,Annelid,Arauna Atlantic Forest,"Piolhão, the Annelid POKéMON, inhabits Arauna Atlantic Forest. Its Bug/Poison nature reflects Brazil's wildlife and legends.",75,75,73,75,72,78,Enxame | Olho Composto,,Piolho-de-cobra gigante,reference-front-plus-reconstructed-back,available,145_piolhao,145_piolhao/anim_front.png,145_piolhao/back.png,145_piolhao/icon.png,145_piolhao/normal.pal,145_piolhao/shiny.pal,145_piolhao/candidate_profile.json
146,Barata,bug/dark,Resilient,Arauna Cities,"Found in Arauna Cities, Barata is known as the Resilient POKéMON. It carries a distinct Bug/Dark affinity.",68,82,70,75,72,78,Enxame | Olho Composto,,Barata-descascadora,reference-front-plus-reconstructed-back,available,146_barata,146_barata/anim_front.png,146_barata/back.png,146_barata/icon.png,146_barata/normal.pal,146_barata/shiny.pal,146_barata/candidate_profile.json
147,Grilim,bug,Leaping,Arauna Cerrado,"Grilim lives in Arauna Cerrado. This Bug POKéMON embodies a part of Brazil's nature, folklore, or culture.",45,50,45,45,45,55,Enxame | Olho Composto,#148 (Level 34),Grilo filhote,reference-front-plus-reconstructed-back,available,147_grilim,147_grilim/anim_front.png,147_grilim/back.png,147_grilim/icon.png,147_grilim/normal.pal,147_grilim/shiny.pal,147_grilim/candidate_profile.json
148,Grilão,bug/normal,Singer,Arauna Cerrado,"Grilão, the Singer POKéMON, inhabits Arauna Cerrado. Its Bug/Normal nature reflects Brazil's wildlife and legends.",89,96,90,95,90,95,Enxame | Olho Composto,,Grilo adulto,reference-front-plus-reconstructed-back,available,148_grilao,148_grilao/anim_front.png,148_grilao/back.png,148_grilao/icon.png,148_grilao/normal.pal,148_grilao/shiny.pal,148_grilao/candidate_profile.json
149,Aranhão,bug/poison,Attack,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Aranhão is known as the Attack POKéMON. It carries a distinct Bug/Poison affinity.",69,81,70,75,72,78,Enxame | Olho Composto,,Aranha-armadeira,reference-front-plus-reconstructed-back,available,149_aranhao,149_aranhao/anim_front.png,149_aranhao/back.png,149_aranhao/icon.png,149_aranhao/normal.pal,149_aranhao/shiny.pal,149_aranhao/candidate_profile.json
150,Vespão,bug/flying,Hunter,Arauna Amazon,"Vespão lives in Arauna Amazon. This Bug/Flying POKéMON embodies a part of Brazil's nature, folklore, or culture.",73,77,72,75,72,78,Enxame | Olho Composto,,Vespa-caçadora,reference-front-plus-reconstructed-back,available,150_vespao,150_vespao/anim_front.png,150_vespao/back.png,150_vespao/icon.png,150_vespao/normal.pal,150_vespao/shiny.pal,150_vespao/candidate_profile.json
151,Marimbondão,bug/poison,Stinger,Arauna Cerrado,"Marimbondão, the Stinger POKéMON, inhabits Arauna Cerrado. Its Bug/Poison nature reflects Brazil's wildlife and legends.",77,73,74,75,72,78,Enxame | Olho Composto,,Marimbondo-tatu,reference-front-plus-reconstructed-back,available,151_marimbondao,151_marimbondao/anim_front.png,151_marimbondao/back.png,151_marimbondao/icon.png,151_marimbondao/normal.pal,151_marimbondao/shiny.pal,151_marimbondao/candidate_profile.json
152,Traça,bug/normal,Rodent,Arauna Cities,"Found in Arauna Cities, Traça is known as the Rodent POKéMON. It carries a distinct Bug/Normal affinity.",70,80,71,75,72,78,Enxame | Olho Composto,,Traça-de-madeira,reference-front-plus-reconstructed-back,available,152_traca,152_traca/anim_front.png,152_traca/back.png,152_traca/icon.png,152_traca/normal.pal,152_traca/shiny.pal,152_traca/candidate_profile.json
153,Corupião,bug/ground,Queen,Arauna Cerrado,"Corupião lives in Arauna Cerrado. This Bug/Ground POKéMON embodies a part of Brazil's nature, folklore, or culture.",74,76,73,75,72,78,Enxame | Olho Composto,,Cupim rainha,reference-front-plus-reconstructed-back,available,153_corupiao,153_corupiao/anim_front.png,153_corupiao/back.png,153_corupiao/icon.png,153_corupiao/normal.pal,153_corupiao/shiny.pal,153_corupiao/candidate_profile.json
154,Cupinzim,bug/ground,Soldier,Arauna Cerrado,"Cupinzim, the Soldier POKéMON, inhabits Arauna Cerrado. Its Bug/Ground nature reflects Brazil's wildlife and legends.",67,83,69,75,72,78,Enxame | Olho Composto,,Cupim soldado,reference-front-plus-reconstructed-back,available,154_cupinzim,154_cupinzim/anim_front.png,154_cupinzim/back.png,154_cupinzim/icon.png,154_cupinzim/normal.pal,154_cupinzim/shiny.pal,154_cupinzim/candidate_profile.json
155,Formigão-Preto,bug/dark,Runner,Arauna Cerrado,"Found in Arauna Cerrado, Formigão-Preto is known as the Runner POKéMON. It carries a distinct Bug/Dark affinity.",71,79,71,75,72,78,Enxame | Olho Composto,,Formiga-preta gigante,reference-front-plus-reconstructed-back,available,155_formigao-preto,155_formigao-preto/anim_front.png,155_formigao-preto/back.png,155_formigao-preto/icon.png,155_formigao-preto/normal.pal,155_formigao-preto/shiny.pal,155_formigao-preto/candidate_profile.json
156,Beija-flor,flying/fairy,Hummingbird,Arauna Atlantic Forest,"Beija-flor lives in Arauna Atlantic Forest. This Flying/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",75,75,73,75,72,78,Vista Aguçada | Vento Veloz,,Beija-flor-rubi,reference-front-plus-reconstructed-back,available,156_beija-flor,156_beija-flor/anim_front.png,156_beija-flor/back.png,156_beija-flor/icon.png,156_beija-flor/normal.pal,156_beija-flor/shiny.pal,156_beija-flor/candidate_profile.json
157,Sabiá,flying/normal,Singer,Arauna Atlantic Forest,"Sabiá, the Singer POKéMON, inhabits Arauna Atlantic Forest. Its Flying/Normal nature reflects Brazil's wildlife and legends.",68,82,70,75,72,78,Vista Aguçada | Vento Veloz,,Sabiá-laranjeira,reference-front-plus-reconstructed-back,available,157_sabia,157_sabia/anim_front.png,157_sabia/back.png,157_sabia/icon.png,157_sabia/normal.pal,157_sabia/shiny.pal,157_sabia/candidate_profile.json
158,Bem-te-vi,flying/normal,Curious,Arauna Cities,"Found in Arauna Cities, Bem-te-vi is known as the Curious POKéMON. It carries a distinct Flying/Normal affinity.",72,78,72,75,72,78,Vista Aguçada | Vento Veloz,,Bem-te-vi,reference-front-plus-reconstructed-back,available,158_bem-te-vi,158_bem-te-vi/anim_front.png,158_bem-te-vi/back.png,158_bem-te-vi/icon.png,158_bem-te-vi/normal.pal,158_bem-te-vi/shiny.pal,158_bem-te-vi/candidate_profile.json
159,Urutau,flying/ghost,Camouflage,Arauna Atlantic Forest,"Urutau lives in Arauna Atlantic Forest. This Flying/Ghost POKéMON embodies a part of Brazil's nature, folklore, or culture.",76,74,74,75,72,78,Vista Aguçada | Vento Veloz,,Urutau,reference-front-plus-reconstructed-back,available,159_urutau,159_urutau/anim_front.png,159_urutau/back.png,159_urutau/icon.png,159_urutau/normal.pal,159_urutau/shiny.pal,159_urutau/candidate_profile.json
160,Carcará,flying/dark,Raptor,Arauna Caatinga,"Carcará, the Raptor POKéMON, inhabits Arauna Caatinga. Its Flying/Dark nature reflects Brazil's wildlife and legends.",69,81,70,75,72,78,Vista Aguçada | Vento Veloz,,Carcará caçador,reference-front-plus-reconstructed-back,available,160_carcara,160_carcara/anim_front.png,160_carcara/back.png,160_carcara/icon.png,160_carcara/normal.pal,160_carcara/shiny.pal,160_carcara/candidate_profile.json
161,Gavião,flying/fighting,Eagle,Arauna Amazon,"Found in Arauna Amazon, Gavião is known as the Eagle POKéMON. It carries a distinct Flying/Fighting affinity.",73,77,72,75,72,78,Vista Aguçada | Vento Veloz,,Gavião-real,reference-front-plus-reconstructed-back,available,161_gaviao,161_gaviao/anim_front.png,161_gaviao/back.png,161_gaviao/icon.png,161_gaviao/normal.pal,161_gaviao/shiny.pal,161_gaviao/candidate_profile.json
162,Urubu,flying/dark,Scavenger,Arauna Cities,"Urubu lives in Arauna Cities. This Flying/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",90,95,90,95,90,95,Vista Aguçada | Vento Veloz,,Urubu-de-cabeça-preta,reference-front-plus-reconstructed-back,available,162_urubu,162_urubu/anim_front.png,162_urubu/back.png,162_urubu/icon.png,162_urubu/normal.pal,162_urubu/shiny.pal,162_urubu/candidate_profile.json
163,Corurupim,flying/psychic,Owl,Arauna Atlantic Forest,"Corurupim, the Owl POKéMON, inhabits Arauna Atlantic Forest. Its Flying/Psychic nature reflects Brazil's wildlife and legends.",43,52,44,45,45,55,Vista Aguçada | Vento Veloz,#163 (Level 22),Coruja pequena,reference-front-plus-reconstructed-back,available,163_corurupim,163_corurupim/anim_front.png,163_corurupim/back.png,163_corurupim/icon.png,163_corurupim/normal.pal,163_corurupim/shiny.pal,163_corurupim/candidate_profile.json
164,Coruja,flying/psychic,Owl,Arauna Cerrado,"Found in Arauna Cerrado, Coruja is known as the Owl POKéMON. It carries a distinct Flying/Psychic affinity.",87,98,89,95,90,95,Vista Aguçada | Vento Veloz,,Coruja-buraqueira,reference-front-plus-reconstructed-back,available,164_coruja,164_coruja/anim_front.png,164_coruja/back.png,164_coruja/icon.png,164_coruja/normal.pal,164_coruja/shiny.pal,164_coruja/candidate_profile.json
165,Jaburu,flying/water,Stork,Arauna Pantanal,"Jaburu lives in Arauna Pantanal. This Flying/Water POKéMON embodies a part of Brazil's nature, folklore, or culture.",67,83,69,75,72,78,Vista Aguçada | Vento Veloz,,Jaburu maior,reference-front-plus-reconstructed-back,available,165_jaburu,165_jaburu/anim_front.png,165_jaburu/back.png,165_jaburu/icon.png,165_jaburu/normal.pal,165_jaburu/shiny.pal,165_jaburu/candidate_profile.json
166,Ema,normal/flying,Runner,Arauna Cerrado,"Ema, the Runner POKéMON, inhabits Arauna Cerrado. Its Normal/Flying nature reflects Brazil's wildlife and legends.",71,79,71,75,72,78,Faro | Placidez,,Ema corredora,reference-front-plus-reconstructed-back,available,166_ema,166_ema/anim_front.png,166_ema/back.png,166_ema/icon.png,166_ema/normal.pal,166_ema/shiny.pal,166_ema/candidate_profile.json
167,Seriema,flying/fighting,One-Legged,Arauna Cerrado,"Found in Arauna Cerrado, Seriema is known as the One-Legged POKéMON. It carries a distinct Flying/Fighting affinity.",75,75,73,75,72,78,Vista Aguçada | Vento Veloz,,Seriema-perna-vermelha,reference-front-plus-reconstructed-back,available,167_seriema,167_seriema/anim_front.png,167_seriema/back.png,167_seriema/icon.png,167_seriema/normal.pal,167_seriema/shiny.pal,167_seriema/candidate_profile.json
168,Anú,flying/dark,Pack,Arauna Cerrado,"Anú lives in Arauna Cerrado. This Flying/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",68,82,70,75,72,78,Vista Aguçada | Vento Veloz,,Anu-preto,reference-front-plus-reconstructed-back,available,168_anu,168_anu/anim_front.png,168_anu/back.png,168_anu/icon.png,168_anu/normal.pal,168_anu/shiny.pal,168_anu/candidate_profile.json
169,Trinca-Ferro,flying/steel,Singer,Arauna Atlantic Forest,"Trinca-Ferro, the Singer POKéMON, inhabits Arauna Atlantic Forest. Its Flying/Steel nature reflects Brazil's wildlife and legends.",72,78,72,75,72,78,Vista Aguçada | Vento Veloz,,Trinca-ferro,reference-front-plus-reconstructed-back,available,169_trinca-ferro,169_trinca-ferro/anim_front.png,169_trinca-ferro/back.png,169_trinca-ferro/icon.png,169_trinca-ferro/normal.pal,169_trinca-ferro/shiny.pal,169_trinca-ferro/candidate_profile.json
170,Curió,flying/normal,Singer,Arauna Cerrado,"Found in Arauna Cerrado, Curió is known as the Singer POKéMON. It carries a distinct Flying/Normal affinity.",76,74,74,75,72,78,Vista Aguçada | Vento Veloz,,Curió cantor,reference-front-plus-reconstructed-back,available,170_curio,170_curio/anim_front.png,170_curio/back.png,170_curio/icon.png,170_curio/normal.pal,170_curio/shiny.pal,170_curio/candidate_profile.json
171,Sanhaço,flying/fairy,Blue,Arauna Atlantic Forest,"Sanhaço lives in Arauna Atlantic Forest. This Flying/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",69,81,70,75,72,78,Vista Aguçada | Vento Veloz,,Sanhaço-azul,reference-front-plus-reconstructed-back,available,171_sanhaco,171_sanhaco/anim_front.png,171_sanhaco/back.png,171_sanhaco/icon.png,171_sanhaco/normal.pal,171_sanhaco/shiny.pal,171_sanhaco/candidate_profile.json
172,Papa-Formiga,flying/bug,Insectivore,Arauna Atlantic Forest,"Papa-Formiga, the Insectivore POKéMON, inhabits Arauna Atlantic Forest. Its Flying/Bug nature reflects Brazil's wildlife and legends.",73,77,72,75,72,78,Vista Aguçada | Vento Veloz,,Papa-formiga,reference-front-plus-reconstructed-back,available,172_papa-formiga,172_papa-formiga/anim_front.png,172_papa-formiga/back.png,172_papa-formiga/icon.png,172_papa-formiga/normal.pal,172_papa-formiga/shiny.pal,172_papa-formiga/candidate_profile.json
173,Choca,flying/normal,Shadow,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Choca is known as the Shadow POKéMON. It carries a distinct Flying/Normal affinity.",77,73,74,75,72,78,Vista Aguçada | Vento Veloz,,Choca-bate-rabo,reference-front-plus-reconstructed-back,available,173_choca,173_choca/anim_front.png,173_choca/back.png,173_choca/icon.png,173_choca/normal.pal,173_choca/shiny.pal,173_choca/candidate_profile.json
174,Bacurau,flying/dark,Nocturnal,Arauna Cerrado,"Bacurau lives in Arauna Cerrado. This Flying/Dark POKéMON embodies a part of Brazil's nature, folklore, or culture.",70,80,71,75,72,78,Vista Aguçada | Vento Veloz,,Bacurau noturno,reference-front-plus-reconstructed-back,available,174_bacurau,174_bacurau/anim_front.png,174_bacurau/back.png,174_bacurau/icon.png,174_bacurau/normal.pal,174_bacurau/shiny.pal,174_bacurau/candidate_profile.json
175,João-de-Barro,flying/ground,Builder,Arauna Cerrado,"João-de-Barro, the Builder POKéMON, inhabits Arauna Cerrado. Its Flying/Ground nature reflects Brazil's wildlife and legends.",74,76,73,75,72,78,Vista Aguçada | Vento Veloz,,João-de-barro,reference-front-plus-reconstructed-back,available,175_joao-de-barro,175_joao-de-barro/anim_front.png,175_joao-de-barro/back.png,175_joao-de-barro/icon.png,175_joao-de-barro/normal.pal,175_joao-de-barro/shiny.pal,175_joao-de-barro/candidate_profile.json
176,Sementim,grass,Seed,Arauna Cerrado,"Found in Arauna Cerrado, Sementim is known as the Seed POKéMON. It carries a distinct Grass affinity.",40,55,42,45,45,55,Espessura | Colheita,#177 (Level 30),Semente andante,reference-front-plus-reconstructed-back,available,176_sementim,176_sementim/anim_front.png,176_sementim/back.png,176_sementim/icon.png,176_sementim/normal.pal,176_sementim/shiny.pal,176_sementim/candidate_profile.json
177,Muda,grass,Sprout,Arauna Cerrado,"Muda lives in Arauna Cerrado. This Grass POKéMON embodies a part of Brazil's nature, folklore, or culture.",64,73,64,65,65,72,Espessura | Colheita,#178 (Level 34),Muda ambulante,reference-front-plus-reconstructed-back,available,177_muda,177_muda/anim_front.png,177_muda/back.png,177_muda/icon.png,177_muda/normal.pal,177_muda/shiny.pal,177_muda/candidate_profile.json
178,Jequitibá,grass/rock,Tree,Arauna Atlantic Forest,"Jequitibá, the Tree POKéMON, inhabits Arauna Atlantic Forest. Its Grass/Rock nature reflects Brazil's wildlife and legends.",88,97,89,95,90,95,Espessura | Colheita,,Jequitibá gigante,reference-front-plus-reconstructed-back,available,178_jequitiba,178_jequitiba/anim_front.png,178_jequitiba/back.png,178_jequitiba/icon.png,178_jequitiba/normal.pal,178_jequitiba/shiny.pal,178_jequitiba/candidate_profile.json
179,Bromelinha,grass/water,Bromeliad,Arauna Atlantic Forest,"Found in Arauna Atlantic Forest, Bromelinha is known as the Bromeliad POKéMON. It carries a distinct Grass/Water affinity.",68,82,70,75,72,78,Espessura | Colheita,,Bromélia jovem,reference-front-plus-reconstructed-back,available,179_bromelinha,179_bromelinha/anim_front.png,179_bromelinha/back.png,179_bromelinha/icon.png,179_bromelinha/normal.pal,179_bromelinha/shiny.pal,179_bromelinha/candidate_profile.json
180,Orquidina,grass/fairy,Flower,Arauna Amazon,"Orquidina lives in Arauna Amazon. This Grass/Fairy POKéMON embodies a part of Brazil's nature, folklore, or culture.",72,78,72,75,72,78,Espessura | Colheita,,Orquídea,reference-front-plus-reconstructed-back,available,180_orquidina,180_orquidina/anim_front.png,180_orquidina/back.png,180_orquidina/icon.png,180_orquidina/normal.pal,180_orquidina/shiny.pal,180_orquidina/candidate_profile.json
181,Vitóriarégia,grass/water,Water-Lily,Arauna Amazon,"Vitóriarégia, the Water-Lily POKéMON, inhabits Arauna Amazon. Its Grass/Water nature reflects Brazil's wildlife and legends.",76,74,74,75,72,78,Espessura | Colheita,,Vitória-régia,reference-front-plus-reconstructed-back,available,181_vitoriaregia,181_vitoriaregia/anim_front.png,181_vitoriaregia/back.png,181_vitoriaregia/icon.png,181_vitoriaregia/normal.pal,181_vitoriaregia/shiny.pal,181_vitoriaregia/candidate_profile.json
182,Ipê,grass/fairy,Blooming,Arauna Cerrado,"Found in Arauna Cerrado, Ipê is known as the Blooming POKéMON. It carries a distinct Grass/Fairy affinity.",69,81,70,75,72,78,Espessura | Colheita,,Ipê-amarelo,reference-front-plus-reconstructed-back,available,182_ipe,182_ipe/anim_front.png,182_ipe/back.png,182_ipe/icon.png,182_ipe/normal.pal,182_ipe/shiny.pal,182_ipe/candidate_profile.json
183,Cipó,grass/poison,Vine,Arauna Amazon,"Cipó lives in Arauna Amazon. This Grass/Poison POKéMON embodies a part of Brazil's nature, folklore, or culture.",73,77,72,75,72,78,Espessura | Colheita,,Cipó ambulante,reference-front-plus-reconstructed-back,available,183_cipo,183_cipo/anim_front.png,183_cipo/back.png,183_cipo/icon.png,183_cipo/normal.pal,183_cipo/shiny.pal,183_cipo/candidate_profile.json
